学号	班级	专业	毕业设计题目	毕业设计成绩	指导教师教工号	指导教师职称	题目分类	是否在实验、实习、工程实践和社会调查等实践中完成
2014550620	16计算机科学与技术1	计算机科学与技术	在线求职招聘系统的设计与实现	良	20033229	副教授	工程设计类	否
2015550842	16计算机科学与技术1	计算机科学与技术	基于Inception-resnet-v2的垃圾分类系统设计与实现	良	20134148	副教授	工程设计类	否
2015551107	16计算机科学与技术1	计算机科学与技术	基于lstm神经网络的电影推荐系统	及格	20164456	讲师（高校）	工程设计类	是
2015551142	16计算机科学与技术1	计算机科学与技术	基于内容的图像识别APP的设计与实现	中	20063750	讲师（高校）	应用研究类	是
2015551143	16网络工程1	网络工程	量子密钥分配算法的研究与模拟实现	及格	20103999	教授	理论研究/论文类	是
2015551144	16计算机科学与技术1	计算机科学与技术	基于卷积神经网络的手写汉字识别系统设计	优	20053685	教授	工程设计类	是
2015551145	16计算机科学与技术1	计算机科学与技术	二进制代码漏洞智能检测 	中	20063737	教授	应用研究类	是
2015551201	15计算机科学与技术1	计算机科学与技术	动物防疫条件合格证电子证照的设计与实现	中	20103987	讲师（高校）	工程设计类	否
2015551339	15软件工程1	软件工程	校园旧货交易系统的设计与实现	及格	20103987	讲师（高校）	工程设计类	否
2015551406	15软件工程1	软件工程	2D游戏开发引擎	及格	20002325	副教授	工程设计类	否
2015551506	15网络工程1	网络工程	电子处方购药系统的设计与实现	中	20103987	讲师（高校）	工程设计类	否
2015551526	15网络工程1	网络工程	数据资源目录管理系统的设计与实现	及格	20103987	讲师（高校）	工程设计类	是
2015551547	16网络工程1	网络工程	城市政务服务数据交换平台的设计与实现	及格	20103987	讲师（高校）	工程设计类	否
2015551548	16网络工程1	网络工程	Android自动化测试框架设计与实现	中	20000213	副教授	工程设计类	是
2015551614	15网络工程1	网络工程	网上体育商城的设计与实现	及格	20002325	副教授	工程设计类	否
2015551643	16网络工程2	网络工程	某三甲医院办公网络的设计与实现	及格	20073844	教授	其它	是
2015801008	15计算机科学与技术1	计算机科学与技术	图书管理系统的设计与实现	及格	20002325	副教授	工程设计类	否
2016310310	16网络工程2	网络工程	短期电力负荷监测预测系统	中	20073844	教授	应用研究类	是
2016500229	16网络工程1	网络工程	基于关系变量图的代码检测系统	良	20043562	实验师	工程设计类	是
2016500730	16计算机科学与技术1	计算机科学与技术	基于粒子滤波的视觉目标追踪系统的设计	优	20053685	教授	工程设计类	是
2016500929	16软件工程2	软件工程	基于卷积神经网络的车牌识别系统	良	20012884	副教授	工程设计类	否
2016501308	16软件工程2	软件工程	DevOps自动化部署平台设计与实现	良	20000213	副教授	工程设计类	是
2016550614	16软件工程2	软件工程	基于unity3d的赛车vr游戏的设计和实现	中	20012849	讲师（高校）	工程设计类	否
2016551101	16计算机科学与技术1	计算机科学与技术	动物图像识别系统的设计与实现	良	20033229	副教授	工程设计类	否
2016551102	16计算机科学与技术1	计算机科学与技术	基于web的心音数据库管理系统	中	19972684	副教授	软件开发类	是
2016551103	16计算机科学与技术1	计算机科学与技术	前后端分离的视频网站设计与实现	中	19881478	教授	软件开发类	是
2016551104	16计算机科学与技术1	计算机科学与技术	基于SiamMask的目标跟踪系统	中	20093943	副教授	工程设计类	是
2016551105	16计算机科学与技术1	计算机科学与技术	基于兴趣的微赛事社交系统的设计与实现	中	20144261	副教授	软件开发类	是
2016551106	16计算机科学与技术1	计算机科学与技术	基于神经网络的布匹花纹识别Web应用	优	20023083	副教授	软件开发类	否
2016551107	16计算机科学与技术1	计算机科学与技术	基于深度学习的人体关节提取系统	良	20053625	副教授	软件开发类	是
2016551108	16计算机科学与技术1	计算机科学与技术	基于深度学习的交通标志识别算法实现	良	19881478	教授	工程设计类	是
2016551109	16计算机科学与技术1	计算机科学与技术	塔防类魔兽地图的设计与开发	中	19970693	副教授	工程设计类	是
2016551110	16计算机科学与技术1	计算机科学与技术	学校课程管理系统的设计与实现	及格	19991992	讲师（高校）	工程设计类	是
2016551111	16计算机科学与技术1	计算机科学与技术	健身俱乐部信息管理系统的设计与实现	良	19900426	副教授	软件开发类	是
2016551113	16计算机科学与技术1	计算机科学与技术	高考志愿辅助系统的设计与实现	中	20033229	副教授	工程设计类	否
2016551114	16计算机科学与技术1	计算机科学与技术	移动端与Web端同步的保险代理平台的设计与实现	良	20103999	教授	工程设计类	是
2016551115	16计算机科学与技术1	计算机科学与技术	人脸识别考勤系统的设计与实现	良	20033186	副教授	工程设计类	是
2016551116	16计算机科学与技术1	计算机科学与技术	基于SSM的宠物店后台管理系统的设计与实现	中	20134148	副教授	工程设计类	否
2016551117	16计算机科学与技术1	计算机科学与技术	基于FUZZ的XXE漏洞检测设计与实现 	良	20063737	教授	工程设计类	是
2016551118	16计算机科学与技术1	计算机科学与技术	湘潭大学食堂点餐微信小程序的设计与实现---小程序数据端设计	良	19920034	副教授	软件开发类	是
2016551119	16计算机科学与技术1	计算机科学与技术	秘密共享系统的设计与实现	及格	20103999	教授	工程设计类	否
2016551120	16计算机科学与技术1	计算机科学与技术	湘钢钢材棒厂的业务管理平台的设计与实现	中	19950729	教授	软件开发类	是
2016551121	16计算机科学与技术1	计算机科学与技术	高考志愿填报辅助系统的设计与实现	良	19900426	副教授	软件开发类	是
